epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,826.644,1.4998,1.0234,0.94583,0.79401,0.63904,0.71384,0.50263,1.51934,0.98748,0.96252,0.000294784,0.000294784,0.000294784
70,838.596,1.52747,1.06216,0.94746,0.81138,0.63584,0.71573,0.52248,1.45767,0.96731,0.94941,0.000290472,0.000290472,0.000290472
71,850.282,1.48331,1.02339,0.93853,0.81799,0.65738,0.72538,0.53157,1.45259,0.95612,0.9476,0.00028616,0.00028616,0.00028616
72,861.849,1.48362,1.01673,0.94156,0.80776,0.64693,0.72325,0.52891,1.45408,0.95609,0.94526,0.000281848,0.000281848,0.000281848
73,873.751,1.50272,1.02995,0.93966,0.79955,0.65049,0.72075,0.52544,1.45025,0.96173,0.94475,0.000277536,0.000277536,0.000277536
74,885.559,1.48523,1.00918,0.94137,0.80966,0.66485,0.73057,0.52871,1.46621,0.97445,0.95283,0.000273224,0.000273224,0.000273224
75,897.405,1.47229,1.01325,0.94017,0.75869,0.66975,0.73035,0.53496,1.44436,0.95269,0.94596,0.000268912,0.000268912,0.000268912
76,908.896,1.48235,1.0115,0.94076,0.76476,0.67791,0.72675,0.5293,1.45935,0.95544,0.95024,0.0002646,0.0002646,0.0002646
77,920.538,1.51159,1.02225,0.93979,0.7943,0.67358,0.72909,0.53246,1.44667,0.95824,0.94507,0.000260288,0.000260288,0.000260288
78,932.319,1.49272,1.00614,0.94281,0.78661,0.67508,0.73546,0.53675,1.43363,0.93812,0.94253,0.000255976,0.000255976,0.000255976
79,943.794,1.49159,1.01092,0.93528,0.7879,0.6639,0.72677,0.53005,1.43599,0.94036,0.94227,0.000251664,0.000251664,0.000251664
80,955.338,1.4857,0.99666,0.93899,0.80158,0.68072,0.7388,0.54047,1.43015,0.92967,0.94186,0.000247352,0.000247352,0.000247352
81,967.083,1.49177,1.00284,0.93687,0.81395,0.65622,0.72841,0.53009,1.44452,0.93548,0.94605,0.00024304,0.00024304,0.00024304
82,978.289,1.49767,1.01063,0.94169,0.78052,0.67633,0.7268,0.53463,1.4457,0.94148,0.94511,0.000238728,0.000238728,0.000238728
83,990.208,1.49507,0.99618,0.93854,0.80368,0.66694,0.73509,0.53467,1.43182,0.9382,0.94177,0.000234416,0.000234416,0.000234416
84,1001.99,1.48581,0.98505,0.93777,0.80832,0.67518,0.73861,0.54239,1.42649,0.9186,0.94181,0.000230104,0.000230104,0.000230104
85,1013.55,1.49869,0.9938,0.94066,0.81359,0.68351,0.74735,0.54415,1.44181,0.92391,0.94471,0.000225792,0.000225792,0.000225792
86,1024.62,1.46564,0.98012,0.93835,0.82663,0.67704,0.7426,0.54552,1.42638,0.91706,0.93955,0.00022148,0.00022148,0.00022148
87,1036.22,1.46428,0.97561,0.93296,0.84415,0.67976,0.74828,0.54582,1.43903,0.91701,0.94289,0.000217168,0.000217168,0.000217168
88,1047.82,1.50037,1.00097,0.938,0.81582,0.68969,0.74678,0.54743,1.42597,0.92801,0.94249,0.000212856,0.000212856,0.000212856
89,1059.1,1.46811,0.96305,0.9364,0.82188,0.67819,0.74842,0.55034,1.42065,0.91215,0.93813,0.000208544,0.000208544,0.000208544
90,1070.42,1.46013,0.96815,0.93052,0.83525,0.67844,0.74992,0.55254,1.42925,0.91118,0.94081,0.000204232,0.000204232,0.000204232
91,1081.93,1.46453,0.96764,0.93326,0.84063,0.67791,0.75136,0.54676,1.42683,0.90718,0.93829,0.00019992,0.00019992,0.00019992
92,1093.29,1.44934,0.9672,0.9341,0.83244,0.67324,0.75377,0.55382,1.4098,0.90065,0.93569,0.000195608,0.000195608,0.000195608
93,1104.8,1.44756,0.95504,0.93118,0.82494,0.69312,0.75325,0.5511,1.43508,0.91408,0.93913,0.000191296,0.000191296,0.000191296
94,1116.21,1.46305,0.968,0.92778,0.813,0.69236,0.75383,0.55391,1.41422,0.89643,0.93625,0.000186984,0.000186984,0.000186984
95,1127.76,1.45437,0.95191,0.93075,0.8281,0.6869,0.75113,0.55574,1.40404,0.8962,0.93547,0.000182672,0.000182672,0.000182672
96,1139.13,1.42725,0.95486,0.93143,0.83404,0.68952,0.75517,0.55709,1.40703,0.89427,0.93309,0.00017836,0.00017836,0.00017836
97,1150.97,1.44899,0.95709,0.92978,0.82682,0.69215,0.75674,0.55884,1.4095,0.89631,0.93433,0.000174048,0.000174048,0.000174048
98,1162.61,1.43808,0.94715,0.92519,0.83406,0.68761,0.75885,0.55774,1.41536,0.89773,0.93781,0.000169736,0.000169736,0.000169736
99,1174.28,1.43742,0.94539,0.92423,0.84984,0.68317,0.76011,0.564,1.40433,0.88761,0.93463,0.000165424,0.000165424,0.000165424
100,1185.86,1.4523,0.95219,0.92772,0.83149,0.68021,0.7471,0.54716,1.42344,0.89585,0.9382,0.000161112,0.000161112,0.000161112
101,1197.65,1.4322,0.93196,0.92741,0.80621,0.70868,0.7613,0.5617,1.41031,0.88158,0.93404,0.0001568,0.0001568,0.0001568
102,1209.32,1.45263,0.94574,0.92923,0.823,0.68163,0.75018,0.55119,1.41068,0.89252,0.93371,0.000152488,0.000152488,0.000152488
103,1220.88,1.42405,0.94002,0.92442,0.81775,0.6918,0.75937,0.56061,1.39957,0.88051,0.9338,0.000148176,0.000148176,0.000148176
104,1232.44,1.40977,0.94073,0.92108,0.80897,0.70519,0.76325,0.5617,1.39977,0.88155,0.93458,0.000143864,0.000143864,0.000143864
105,1244.45,1.44752,0.94262,0.92514,0.81949,0.70754,0.76508,0.55972,1.42035,0.88378,0.93709,0.000139552,0.000139552,0.000139552
106,1256.49,1.43029,0.93439,0.91976,0.81979,0.69292,0.76098,0.56076,1.39913,0.87921,0.93433,0.00013524,0.00013524,0.00013524
107,1268.91,1.42587,0.92831,0.92467,0.79443,0.71606,0.76562,0.56274,1.4094,0.87522,0.93577,0.000130928,0.000130928,0.000130928
108,1280.57,1.42023,0.93225,0.92319,0.83683,0.69494,0.7578,0.5599,1.4046,0.88137,0.9346,0.000126616,0.000126616,0.000126616
109,1292.78,1.43249,0.92765,0.9224,0.83995,0.69137,0.76057,0.56369,1.39157,0.87472,0.93162,0.000122304,0.000122304,0.000122304
110,1305.64,1.41291,0.92397,0.91965,0.84289,0.69344,0.76491,0.56551,1.39111,0.87197,0.93059,0.000117992,0.000117992,0.000117992
111,1317.44,1.41947,0.9167,0.92414,0.82313,0.69953,0.76348,0.56525,1.39419,0.87037,0.93272,0.00011368,0.00011368,0.00011368
112,1329.51,1.42258,0.92943,0.9271,0.8248,0.69691,0.77046,0.5717,1.38657,0.87392,0.93204,0.000109368,0.000109368,0.000109368
113,1341.39,1.43119,0.9183,0.92519,0.84713,0.70473,0.77379,0.57231,1.39091,0.86753,0.93108,0.000105056,0.000105056,0.000105056
114,1353.86,1.4025,0.92006,0.91785,0.84981,0.70528,0.77381,0.57296,1.39287,0.86713,0.93204,0.000100744,0.000100744,0.000100744
115,1366.07,1.4088,0.91149,0.91835,0.8476,0.7103,0.7786,0.57502,1.39033,0.86246,0.93085,9.6432e-05,9.6432e-05,9.6432e-05
116,1377.59,1.40809,0.90904,0.9255,0.84568,0.71582,0.77895,0.57569,1.39301,0.86008,0.93176,9.212e-05,9.212e-05,9.212e-05
117,1389.66,1.41804,0.91107,0.92135,0.8322,0.72082,0.77445,0.57294,1.38797,0.86329,0.93081,8.7808e-05,8.7808e-05,8.7808e-05
118,1401.5,1.43551,0.92634,0.92441,0.86271,0.7064,0.77636,0.57623,1.38271,0.85773,0.9291,8.3496e-05,8.3496e-05,8.3496e-05
119,1414.01,1.39709,0.9025,0.91503,0.86965,0.702,0.77858,0.57685,1.37984,0.85687,0.92792,7.9184e-05,7.9184e-05,7.9184e-05
120,1426.09,1.39944,0.90442,0.9201,0.83548,0.70586,0.76999,0.57278,1.3732,0.85256,0.92727,7.4872e-05,7.4872e-05,7.4872e-05
121,1437.5,1.4037,0.90542,0.92229,0.85516,0.69619,0.77944,0.57635,1.38472,0.85215,0.9288,7.056e-05,7.056e-05,7.056e-05
122,1449.38,1.41614,0.91141,0.91725,0.8595,0.70362,0.7737,0.57587,1.37651,0.85077,0.92697,6.6248e-05,6.6248e-05,6.6248e-05
123,1460.7,1.40942,0.90115,0.92346,0.83333,0.71413,0.77823,0.57653,1.37576,0.8514,0.92742,6.1936e-05,6.1936e-05,6.1936e-05
124,1472.85,1.40896,0.91027,0.91493,0.86812,0.70271,0.77615,0.57763,1.38029,0.85225,0.92807,5.7624e-05,5.7624e-05,5.7624e-05
125,1484.53,1.36428,0.88357,0.91654,0.86102,0.70551,0.78086,0.5792,1.37667,0.84715,0.92764,5.3312e-05,5.3312e-05,5.3312e-05
